,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
4756,8752,75883686,1800,1.0,1,950,4,5.0,75,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
4764,8319,41429935,1950,1.0,1,740,4,6.0,80,0,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
4795,4973,23781472,2350,1.0,1,882,11,3.0,8,0,1,0,1,1,0,0,1,Astoria,Northwest Queens,Queens
4806,6804,42057488,1795,1.0,1,550,12,6.0,49,1,0,0,0,0,0,0,0,Flushing,Northeast Queens,Queens
4844,5884,55659469,3050,1.0,1,700,5,3.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
4875,6572,49653888,2625,1.0,1,673,10,13.0,6,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
4876,8324,66802619,1600,1.0,1,820,2,4.0,85,0,0,1,1,0,0,0,0,Sunnyside,Northwest Queens,Queens
4901,1845,80967482,3500,1.0,1,753,1,3.0,85,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
4932,471,77099591,2650,1.0,1,650,6,21.0,1,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
4976,11245,9444618,2200,1.0,1,850,4,3.0,62,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
4995,1964,73060494,2650,1.0,1,686,9,4.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
