hotel,reservation_status,arrival date,arrival day of week,number of special requests
Resort Hotel,Check-Out,8/20/16,Sat,0
Resort Hotel,Canceled,4/23/16,Sat,0
City Hotel,Canceled,11/28/16,Mon,0
City Hotel,Canceled,7/23/15,Thu,3
Resort Hotel,Check-Out,5/18/17,Thu,1
Resort Hotel,,9/19/16,Mon,0
Resort Hotel,Check-Out,11/16/15,Mon,1
Resort Hotel,Canceled,7/4/15,Sat,0
Resort Hotel,Check-Out,5/4/16,Wed,0
Resort Hotel,Check-Out,3/13/17,Mon,0
Resort Hotel,Check-Out,5/19/16,Thu,0
City Hotel,Canceled,4/10/17,Mon,2
City Hotel,Check-Out,6/15/16,Wed,0
Resort Hotel,Canceled,5/11/16,Wed,0
Resort Hotel,Canceled,11/26/16,Sat,1
Resort Hotel,Check-Out,2/16/16,Tue,0
Resort Hotel,Check-Out,2/22/17,Wed,0
City Hotel,Canceled,8/23/17,Wed,1
City Hotel,Canceled,7/26/17,Wed,0
Resort Hotel,Canceled,7/12/15,Sun,0
Resort Hotel,Check-Out,4/23/17,Sun,0
Resort Hotel,Check-Out,2/14/17,Tue,0
City Hotel,Check-Out,8/12/16,Fri,1
City Hotel,Check-Out,12/31/16,Sat,0
Resort Hotel,Canceled,7/28/17,Fri,1
Resort Hotel,,9/30/16,Fri,1
City Hotel,Canceled,3/20/16,Sun,0
City Hotel,Canceled,4/21/17,Fri,0
Resort Hotel,Check-Out,10/18/15,Sun,0
City Hotel,Check-Out,4/3/16,Sun,0
Resort Hotel,Check-Out,8/12/16,Fri,0
City Hotel,Check-Out,2/8/16,Mon,1
Resort Hotel,Check-Out,7/2/15,Thu,0
Resort Hotel,No-Show,7/27/17,Thu,1
Resort Hotel,Check-Out,5/26/16,Thu,0
City Hotel,,9/26/16,Mon,2
City Hotel,Check-Out,3/14/17,Tue,3
City Hotel,Canceled,12/15/16,Thu,0
City Hotel,Check-Out,8/17/17,Thu,2
Resort Hotel,Check-Out,5/20/17,Sat,1
Resort Hotel,,9/18/16,Sun,1
Resort Hotel,Check-Out,5/16/16,Mon,1
City Hotel,Canceled,12/24/16,Sat,0
City Hotel,Check-Out,10/7/15,Wed,0
City Hotel,Canceled,4/21/17,Fri,0
City Hotel,Canceled,5/26/17,Fri,0
Resort Hotel,Check-Out,5/13/17,Sat,0
City Hotel,Check-Out,4/20/16,Wed,0
Resort Hotel,Check-Out,5/3/17,Wed,0
City Hotel,Canceled,8/16/16,Tue,0
Resort Hotel,Check-Out,5/30/17,Tue,0
City Hotel,Check-Out,3/24/17,Fri,3
City Hotel,Check-Out,5/10/16,Tue,0
City Hotel,Canceled,3/13/17,Mon,1
Resort Hotel,Check-Out,7/4/15,Sat,0
Resort Hotel,Canceled,8/15/15,Sat,0
City Hotel,Check-Out,3/24/17,Fri,0
City Hotel,Check-Out,6/8/17,Thu,1
City Hotel,Check-Out,8/17/16,Wed,1
City Hotel,Check-Out,8/17/15,Mon,0
City Hotel,Check-Out,10/18/15,Sun,0
Resort Hotel,,9/27/16,Tue,2
City Hotel,Check-Out,4/21/16,Thu,1
City Hotel,Check-Out,7/3/17,Mon,0
Resort Hotel,Canceled,10/5/15,Mon,2
City Hotel,Check-Out,12/5/15,Sat,0
City Hotel,Canceled,6/15/16,Wed,1
City Hotel,No-Show,7/13/15,Mon,0
Resort Hotel,Check-Out,4/16/16,Sat,0
City Hotel,Canceled,7/9/16,Sat,1
City Hotel,Check-Out,10/8/15,Thu,0
City Hotel,Check-Out,2/26/16,Fri,0
Resort Hotel,Check-Out,8/27/16,Sat,1
City Hotel,Check-Out,2/12/17,Sun,0
City Hotel,Canceled,4/29/16,Fri,0
City Hotel,Canceled,6/17/17,Sat,0
Resort Hotel,Canceled,5/2/17,Tue,0
City Hotel,Canceled,4/14/16,Thu,0
City Hotel,Canceled,2/21/16,Sun,1
City Hotel,Check-Out,2/2/17,Thu,0
City Hotel,Canceled,5/16/16,Mon,0
City Hotel,Check-Out,8/10/17,Thu,0
City Hotel,,9/17/16,Sat,0
City Hotel,Canceled,1/4/17,Wed,2
Resort Hotel,Check-Out,7/29/17,Sat,1
City Hotel,Check-Out,9/4/15,Fri,1
Resort Hotel,Check-Out,5/12/16,Thu,0
City Hotel,Canceled,4/3/16,Sun,0
City Hotel,Check-Out,4/20/16,Wed,0
Resort Hotel,Check-Out,4/17/17,Mon,1
Resort Hotel,Canceled,2/28/17,Tue,0
City Hotel,Canceled,2/28/16,Sun,0
City Hotel,Canceled,7/14/15,Tue,0
Resort Hotel,Check-Out,7/30/15,Thu,0
City Hotel,,9/17/16,Sat,0
City Hotel,Canceled,8/13/16,Sat,1
Resort Hotel,Canceled,5/15/16,Sun,0
Resort Hotel,Check-Out,6/26/17,Mon,1
City Hotel,Canceled,10/28/16,Fri,1
City Hotel,Canceled,5/1/17,Mon,1
City Hotel,Check-Out,9/6/15,Sun,0
Resort Hotel,Check-Out,10/10/16,Mon,1
City Hotel,Check-Out,8/8/15,Sat,0
City Hotel,Canceled,10/17/16,Mon,2
City Hotel,Check-Out,2/19/16,Fri,0
Resort Hotel,Check-Out,7/19/16,Tue,3
City Hotel,Canceled,12/29/16,Thu,1
City Hotel,Check-Out,7/10/16,Sun,2
City Hotel,Check-Out,6/24/16,Fri,1
City Hotel,Canceled,5/28/17,Sun,1
City Hotel,Check-Out,10/23/16,Sun,0
City Hotel,Canceled,4/28/16,Thu,0
City Hotel,Check-Out,11/2/16,Wed,1
City Hotel,Canceled,10/10/16,Mon,0
Resort Hotel,Check-Out,11/16/15,Mon,3
City Hotel,Check-Out,8/24/15,Mon,0
Resort Hotel,Check-Out,1/27/17,Fri,1
City Hotel,Canceled,7/5/17,Wed,1
Resort Hotel,Check-Out,4/30/16,Sat,0
Resort Hotel,Check-Out,6/14/16,Tue,0
City Hotel,Check-Out,12/5/15,Sat,0
City Hotel,Check-Out,2/22/16,Mon,0
City Hotel,Canceled,7/12/17,Wed,1
City Hotel,Canceled,10/26/16,Wed,0
Resort Hotel,Check-Out,5/3/16,Tue,0
City Hotel,Canceled,6/12/17,Mon,0
Resort Hotel,Canceled,11/12/15,Thu,0
City Hotel,Check-Out,4/2/17,Sun,0
City Hotel,Check-Out,12/18/15,Fri,0
City Hotel,Check-Out,6/11/17,Sun,0
Resort Hotel,Canceled,6/6/17,Tue,0
Resort Hotel,Check-Out,4/14/16,Thu,0
Resort Hotel,Check-Out,11/11/15,Wed,0
Resort Hotel,Check-Out,7/9/17,Sun,1
Resort Hotel,Check-Out,3/4/16,Fri,0
City Hotel,,9/6/16,Tue,0
Resort Hotel,Check-Out,2/27/16,Sat,0
Resort Hotel,Canceled,2/24/17,Fri,0
Resort Hotel,Check-Out,7/29/17,Sat,1
City Hotel,Canceled,3/15/17,Wed,0
Resort Hotel,Canceled,5/9/17,Tue,0
City Hotel,Canceled,3/31/17,Fri,0
City Hotel,Check-Out,8/20/16,Sat,0
City Hotel,Check-Out,7/5/17,Wed,0
City Hotel,Canceled,5/1/17,Mon,0
Resort Hotel,Check-Out,8/31/15,Mon,2
City Hotel,Check-Out,8/19/16,Fri,2
City Hotel,Check-Out,7/24/16,Sun,0
City Hotel,Canceled,7/24/16,Sun,0
City Hotel,Canceled,11/7/16,Mon,0
City Hotel,Check-Out,10/7/15,Wed,0
Resort Hotel,Canceled,3/17/16,Thu,0
City Hotel,Canceled,3/9/17,Thu,0
Resort Hotel,Canceled,3/9/17,Thu,0
City Hotel,Canceled,3/5/16,Sat,0
City Hotel,Check-Out,8/10/16,Wed,0
Resort Hotel,Check-Out,7/30/17,Sun,2
Resort Hotel,Canceled,7/30/15,Thu,0
Resort Hotel,Check-Out,4/9/17,Sun,2
City Hotel,Check-Out,6/18/16,Sat,0
City Hotel,Check-Out,3/19/17,Sun,0
City Hotel,Canceled,6/8/17,Thu,0
Resort Hotel,Canceled,8/4/17,Fri,0
Resort Hotel,Check-Out,6/18/17,Sun,1
City Hotel,Check-Out,4/21/16,Thu,0
City Hotel,Check-Out,11/6/16,Sun,0
Resort Hotel,Check-Out,8/7/15,Fri,0
City Hotel,Check-Out,7/26/16,Tue,2
City Hotel,Check-Out,8/10/15,Mon,0
City Hotel,Check-Out,7/29/17,Sat,1
City Hotel,Check-Out,11/17/16,Thu,1
City Hotel,Check-Out,5/25/17,Thu,0
City Hotel,Check-Out,10/6/16,Thu,1
City Hotel,Check-Out,12/7/16,Wed,2
City Hotel,,9/3/16,Sat,2
City Hotel,Check-Out,4/29/17,Sat,1
Resort Hotel,Check-Out,3/5/17,Sun,0
City Hotel,Check-Out,7/13/17,Thu,1
City Hotel,Check-Out,8/16/16,Tue,2
City Hotel,Canceled,10/4/16,Tue,2
City Hotel,Check-Out,7/17/16,Sun,0
Resort Hotel,Canceled,4/27/17,Thu,2
City Hotel,Canceled,10/8/15,Thu,0
City Hotel,Check-Out,5/18/16,Wed,0
City Hotel,,9/30/16,Fri,1
City Hotel,Check-Out,6/19/17,Mon,2
City Hotel,Check-Out,7/25/15,Sat,0
City Hotel,Check-Out,1/2/16,Sat,0
City Hotel,Check-Out,1/24/16,Sun,1
City Hotel,Canceled,12/30/15,Wed,0
City Hotel,Check-Out,3/24/16,Thu,0
City Hotel,Check-Out,3/4/16,Fri,2
City Hotel,Canceled,9/9/15,Wed,2
City Hotel,Check-Out,2/9/17,Thu,1
City Hotel,Check-Out,4/21/17,Fri,0
City Hotel,Check-Out,11/26/16,Sat,1
Resort Hotel,Check-Out,5/28/17,Sun,0
City Hotel,,9/20/16,Tue,0
Resort Hotel,Check-Out,3/19/16,Sat,0
Resort Hotel,Check-Out,9/27/15,Sun,1
City Hotel,Check-Out,7/25/17,Tue,2
City Hotel,Check-Out,3/9/16,Wed,0
City Hotel,Check-Out,2/15/17,Wed,0
Resort Hotel,Check-Out,2/23/16,Tue,0
Resort Hotel,Check-Out,12/16/16,Fri,2
City Hotel,Canceled,4/26/17,Wed,1
City Hotel,Check-Out,2/12/17,Sun,0
City Hotel,Canceled,2/12/17,Sun,0
City Hotel,Check-Out,7/1/15,Wed,0
City Hotel,Canceled,5/31/17,Wed,1
City Hotel,Canceled,3/13/17,Mon,0
City Hotel,Check-Out,4/22/16,Fri,1
City Hotel,Canceled,6/4/17,Sun,0
Resort Hotel,Check-Out,12/28/16,Wed,0
City Hotel,Check-Out,5/8/17,Mon,4
City Hotel,Check-Out,9/4/15,Fri,2
City Hotel,Check-Out,8/21/16,Sun,0
Resort Hotel,Check-Out,10/18/15,Sun,2
Resort Hotel,Check-Out,4/22/17,Sat,1
City Hotel,,9/9/16,Fri,0
City Hotel,Canceled,8/10/16,Wed,0
Resort Hotel,Canceled,6/25/16,Sat,2
City Hotel,Check-Out,7/5/17,Wed,0
City Hotel,Canceled,12/9/16,Fri,1
Resort Hotel,Check-Out,8/1/17,Tue,1
Resort Hotel,Canceled,12/24/15,Thu,0
Resort Hotel,Check-Out,11/15/16,Tue,0
City Hotel,Check-Out,2/25/17,Sat,0
City Hotel,Check-Out,7/17/17,Mon,1
City Hotel,Canceled,8/13/16,Sat,1
City Hotel,Canceled,6/28/17,Wed,2
City Hotel,Canceled,12/8/15,Tue,2
City Hotel,Check-Out,10/24/15,Sat,0
City Hotel,Check-Out,7/8/16,Fri,0
Resort Hotel,Canceled,8/1/17,Tue,0
Resort Hotel,Check-Out,4/20/16,Wed,0
City Hotel,Check-Out,8/11/17,Fri,1
City Hotel,,9/3/16,Sat,0
Resort Hotel,Check-Out,7/5/15,Sun,0
City Hotel,Check-Out,6/14/17,Wed,0
City Hotel,Canceled,12/19/16,Mon,1
City Hotel,Canceled,10/17/16,Mon,2
Resort Hotel,Check-Out,1/30/17,Mon,0
City Hotel,Check-Out,8/24/17,Thu,0
City Hotel,Canceled,7/9/15,Thu,0
Resort Hotel,Check-Out,8/14/16,Sun,0
City Hotel,Canceled,3/16/16,Wed,1
Resort Hotel,Canceled,7/8/15,Wed,0
City Hotel,,9/22/16,Thu,1
City Hotel,Check-Out,7/5/16,Tue,2
Resort Hotel,Canceled,11/10/16,Thu,2
Resort Hotel,Check-Out,6/20/16,Mon,1
City Hotel,Canceled,12/2/16,Fri,0
Resort Hotel,Check-Out,5/30/16,Mon,0
Resort Hotel,Canceled,7/11/15,Sat,0
City Hotel,Check-Out,9/18/15,Fri,0
City Hotel,Check-Out,2/11/16,Thu,2
Resort Hotel,Canceled,9/15/15,Tue,0
Resort Hotel,Canceled,11/19/16,Sat,0
City Hotel,,9/18/16,Sun,3
Resort Hotel,Check-Out,8/27/17,Sun,1
Resort Hotel,Check-Out,12/14/15,Mon,3
City Hotel,Check-Out,9/5/15,Sat,1
City Hotel,Canceled,8/5/15,Wed,0
City Hotel,Check-Out,3/19/16,Sat,1
Resort Hotel,Check-Out,6/7/16,Tue,0
Resort Hotel,Check-Out,11/14/15,Sat,0
City Hotel,Check-Out,2/3/16,Wed,0
City Hotel,Canceled,6/15/17,Thu,1
City Hotel,Check-Out,2/12/16,Fri,0
City Hotel,Canceled,12/6/16,Tue,1
City Hotel,Check-Out,3/14/17,Tue,0
City Hotel,Check-Out,1/2/17,Mon,0
Resort Hotel,Check-Out,5/22/17,Mon,0
City Hotel,Check-Out,12/10/16,Sat,0
CITY HOTEL,Check-Out,3/5/16,Sat,0
City Hotel,Canceled,2/27/17,Mon,2
City Hotel,Check-Out,7/20/17,Thu,0
Resort Hotel,Canceled,3/17/16,Thu,2
City Hotel,Check-Out,4/20/17,Thu,0
Resort Hotel,Check-Out,7/18/16,Mon,2
City Hotel,Check-Out,2/15/17,Wed,0
Resort Hotel,Check-Out,11/12/15,Thu,1
City Hotel,Check-Out,4/26/16,Tue,0
City Hotel,Check-Out,7/10/17,Mon,0
Resort Hotel,Canceled,12/21/15,Mon,1
City Hotel,Canceled,9/11/15,Fri,1
Resort Hotel,Canceled,3/5/16,Sat,0
Resort Hotel,Check-Out,4/8/17,Sat,0
City Hotel,Check-Out,2/24/17,Fri,0
City Hotel,Check-Out,11/21/16,Mon,0
City Hotel,Canceled,3/30/17,Thu,2
City Hotel,Check-Out,3/24/16,Thu,0
Resort Hotel,Check-Out,3/15/17,Wed,2
City Hotel,Check-Out,12/27/16,Tue,2
Resort Hotel,Check-Out,6/9/16,Thu,0
Resort Hotel,Canceled,8/19/17,Sat,2
Resort Hotel,Check-Out,2/6/16,Sat,0
City Hotel,Canceled,5/2/17,Tue,0
City Hotel,,9/17/16,Sat,1
City Hotel,Canceled,6/15/16,Wed,2
City Hotel,Canceled,6/1/17,Thu,0
City Hotel,Check-Out,4/21/17,Fri,0
City Hotel,Check-Out,7/15/15,Wed,0
City Hotel,Canceled,6/9/16,Thu,1
City Hotel,Check-Out,1/3/17,Tue,1
City Hotel,Check-Out,6/15/17,Thu,0
City Hotel,Canceled,2/18/16,Thu,1
City Hotel,,9/30/16,Fri,0
City Hotel,Check-Out,9/18/15,Fri,1
City Hotel,Canceled,4/3/17,Mon,0
Resort Hotel,Canceled,7/23/16,Sat,1
City Hotel,Canceled,8/24/15,Mon,0
City Hotel,Check-Out,10/26/15,Mon,0
Resort Hotel,Check-Out,7/25/15,Sat,0
Resort Hotel,Check-Out,5/16/17,Tue,0
City Hotel,Check-Out,7/29/17,Sat,0
Resort Hotel,Check-Out,11/11/16,Fri,1
City Hotel,Check-Out,6/15/16,Wed,0
City Hotel,Check-Out,4/22/16,Fri,0
City Hotel,Canceled,4/5/16,Tue,2
City Hotel,Check-Out,11/2/16,Wed,0
City Hotel,Check-Out,10/28/15,Wed,0
City Hotel,Check-Out,10/29/16,Sat,0
Resort Hotel,Check-Out,1/28/17,Sat,0
City Hotel,Check-Out,8/31/16,Wed,2
Resort Hotel,,9/27/16,Tue,0
Resort Hotel,Check-Out,7/25/16,Mon,0
City Hotel,Canceled,7/10/17,Mon,1
Resort Hotel,Check-Out,10/21/16,Fri,1
Resort Hotel,Check-Out,12/17/16,Sat,0
City Hotel,Check-Out,8/11/17,Fri,3
Resort Hotel,Check-Out,11/24/15,Tue,0
Resort Hotel,Check-Out,5/25/17,Thu,1
Resort Hotel,Check-Out,8/22/15,Sat,0
City Hotel,,9/6/16,Tue,1
Resort Hotel,Check-Out,8/27/15,Thu,1
City Hotel,Check-Out,10/10/16,Mon,1
Resort Hotel,Check-Out,2/9/17,Thu,0
Resort Hotel,Check-Out,6/25/17,Sun,1
Resort Hotel,Check-Out,2/22/16,Mon,1
City Hotel,Check-Out,5/26/16,Thu,0
City Hotel,Canceled,7/3/17,Mon,1
Resort Hotel,Check-Out,7/9/15,Thu,0
City Hotel,Check-Out,10/6/16,Thu,2
City Hotel,Canceled,3/21/17,Tue,1
City Hotel,Canceled,12/8/15,Tue,0
City Hotel,Canceled,12/30/16,Fri,0
Resort Hotel,Check-Out,10/26/16,Wed,0
City Hotel,Check-Out,6/22/17,Thu,1
Resort Hotel,Check-Out,4/9/16,Sat,0
City Hotel,Check-Out,4/3/17,Mon,0
City Hotel,Canceled,4/5/17,Wed,0
City Hotel,Check-Out,9/10/15,Thu,1
City Hotel,Check-Out,11/10/16,Thu,0
City Hotel,Canceled,10/3/16,Mon,0
City Hotel,Check-Out,9/29/15,Tue,0
Resort Hotel,Check-Out,10/5/16,Wed,1
Resort Hotel,Canceled,7/12/16,Tue,1
City Hotel,Canceled,8/22/15,Sat,0
City Hotel,Check-Out,11/29/16,Tue,3
City Hotel,Canceled,8/12/17,Sat,0
Resort Hotel,Check-Out,6/27/16,Mon,0
City Hotel,Canceled,1/2/16,Sat,0
City Hotel,Check-Out,6/17/17,Sat,1
Resort Hotel,Canceled,8/23/15,Sun,0
Resort Hotel,Check-Out,8/14/16,Sun,0
City Hotel,Check-Out,4/13/17,Thu,0
City Hotel,Canceled,12/28/16,Wed,1
City Hotel,,9/21/16,Wed,3
City Hotel,Canceled,2/12/17,Sun,0
Resort Hotel,Check-Out,9/21/15,Mon,0
City Hotel,Check-Out,5/5/16,Thu,0
City Hotel,Canceled,6/10/17,Sat,1
City Hotel,Canceled,5/21/17,Sun,0
City Hotel,Canceled,1/31/17,Tue,1
Resort Hotel,Check-Out,11/8/15,Sun,0
Resort Hotel,Check-Out,3/7/16,Mon,1
Resort Hotel,Check-Out,7/10/16,Sun,1
City Hotel,Canceled,7/7/16,Thu,0
City Hotel,Canceled,8/12/15,Wed,0
City Hotel,Canceled,10/28/16,Fri,2
City Hotel,Canceled,8/3/15,Mon,0
Resort Hotel,Canceled,9/8/15,Tue,0
City Hotel,,9/30/16,Fri,0
Resort Hotel,Check-Out,12/5/15,Sat,1
City Hotel,Canceled,10/12/16,Wed,0
City Hotel,Check-Out,8/15/17,Tue,1
City Hotel,Canceled,1/14/17,Sat,0
City Hotel,Canceled,12/28/15,Mon,0
Resort Hotel,Canceled,11/7/15,Sat,0
City Hotel,Canceled,1/14/17,Sat,2
City Hotel,Canceled,4/9/16,Sat,2
City Hotel,Check-Out,10/4/15,Sun,0
Resort Hotel,Canceled,10/6/16,Thu,1
Resort Hotel,Check-Out,5/28/16,Sat,0
City Hotel,Check-Out,10/30/16,Sun,0
City Hotel,Check-Out,3/23/16,Wed,0
Resort Hotel,Canceled,7/18/17,Tue,0
City Hotel,Check-Out,9/25/15,Fri,0
City Hotel,Canceled,2/12/17,Sun,1
City Hotel,Canceled,5/19/17,Fri,2
City Hotel,Check-Out,2/19/16,Fri,0
City Hotel,Check-Out,9/7/15,Mon,1
City Hotel,Check-Out,7/23/17,Sun,2
City Hotel,Canceled,4/16/17,Sun,1
City Hotel,Check-Out,12/1/16,Thu,1
Resort Hotel,Check-Out,8/16/15,Sun,0
City Hotel,Canceled,11/3/16,Thu,0
City Hotel,No-Show,6/28/17,Wed,0
Resort Hotel,Canceled,4/10/17,Mon,0
Resort Hotel,Check-Out,5/12/16,Thu,1
Resort Hotel,Check-Out,10/8/15,Thu,0
City Hotel,Check-Out,11/4/16,Fri,0
City Hotel,Canceled,7/5/17,Wed,1
City Hotel,Check-Out,6/15/17,Thu,2
Resort Hotel,Canceled,10/2/15,Fri,2
City Hotel,Canceled,6/5/16,Sun,1
City Hotel,Check-Out,4/29/17,Sat,1
City Hotel,Canceled,10/6/15,Tue,1
City Hotel,,9/18/16,Sun,2
Resort Hotel,Check-Out,9/4/15,Fri,1
City Hotel,Check-Out,4/27/17,Thu,0
City Hotel,Check-Out,11/15/15,Sun,0
Resort Hotel,Canceled,2/28/17,Tue,0
Resort Hotel,Check-Out,2/24/17,Fri,0
City Hotel,Check-Out,2/20/17,Mon,0
City Hotel,Check-Out,6/5/17,Mon,1
Resort Hotel,Canceled,7/12/15,Sun,0
Resort Hotel,Check-Out,2/18/17,Sat,3
Resort Hotel,Check-Out,5/19/16,Thu,0
City Hotel,Canceled,9/25/15,Fri,1
City Hotel,Check-Out,9/19/15,Sat,2
City Hotel,Check-Out,10/11/15,Sun,0
Resort Hotel,Check-Out,6/3/17,Sat,0
City Hotel,Check-Out,5/4/16,Wed,0
City Hotel,Check-Out,1/9/17,Mon,0
City Hotel,Check-Out,7/9/17,Sun,0
Resort Hotel,Canceled,2/10/17,Fri,0
Resort Hotel,Check-Out,8/22/16,Mon,1
City Hotel,Check-Out,4/13/17,Thu,2
Resort Hotel,Canceled,5/2/16,Mon,0
City Hotel,Check-Out,5/8/16,Sun,1
Resort Hotel,Check-Out,8/25/15,Tue,0
City Hotel,Canceled,2/28/16,Sun,0
City Hotel,Canceled,10/16/16,Sun,1
City Hotel,Check-Out,1/19/16,Tue,0
City Hotel,Check-Out,9/12/15,Sat,1
City Hotel,,9/9/16,Fri,0
Resort Hotel,Check-Out,4/22/16,Fri,0
City Hotel,Check-Out,2/19/16,Fri,0
City Hotel,Check-Out,4/26/16,Tue,0
City Hotel,Check-Out,5/6/16,Fri,0
Resort Hotel,Check-Out,7/24/17,Mon,1
Resort Hotel,Canceled,9/3/15,Thu,0
City Hotel,Check-Out,7/8/17,Sat,1
Resort Hotel,Check-Out,5/10/16,Tue,1
Resort Hotel,Check-Out,7/25/16,Mon,1
City Hotel,Canceled,6/5/16,Sun,2
City Hotel,Check-Out,9/24/15,Thu,0
Resort Hotel,Check-Out,11/21/15,Sat,0
City Hotel,Canceled,6/3/17,Sat,0
City Hotel,Canceled,10/31/15,Sat,0
City Hotel,Canceled,5/21/17,Sun,1
City Hotel,Check-Out,5/8/17,Mon,0
City Hotel,,9/17/16,Sat,1
Resort Hotel,Check-Out,7/29/17,Sat,1
City Hotel,Canceled,7/16/17,Sun,1
City Hotel,Canceled,1/23/17,Mon,2
City Hotel,No-Show,12/2/15,Wed,0
City Hotel,Check-Out,8/23/15,Sun,0
Resort Hotel,Canceled,5/12/16,Thu,0
Resort Hotel,Check-Out,12/26/15,Sat,0
City Hotel,Check-Out,10/30/16,Sun,1
Resort Hotel,,9/3/16,Sat,0
City Hotel,Check-Out,1/2/16,Sat,0
City Hotel,Canceled,3/21/16,Mon,0
Resort Hotel,,9/2/16,Fri,1
City Hotel,Check-Out,4/26/16,Tue,1
City Hotel,Canceled,7/28/16,Thu,0
City Hotel,Check-Out,9/12/15,Sat,1
Resort Hotel,Check-Out,7/12/17,Wed,0
City Hotel,Check-Out,4/21/17,Fri,2
City Hotel,Canceled,11/7/16,Mon,0
City Hotel,Check-Out,7/13/17,Thu,0
Resort Hotel,Check-Out,6/11/17,Sun,1
City Hotel,Canceled,12/28/16,Wed,1
Resort Hotel,Canceled,9/17/15,Thu,1
City Hotel,Check-Out,6/17/17,Sat,0
City Hotel,Check-Out,8/12/16,Fri,2
City Hotel,Check-Out,12/14/16,Wed,0
Resort Hotel,Check-Out,4/28/16,Thu,1
City Hotel,Canceled,2/25/16,Thu,0
City Hotel,Canceled,3/19/16,Sat,0
City Hotel,No-Show,2/28/16,Sun,0
City Hotel,,9/13/16,Tue,1
City Hotel,Check-Out,10/6/15,Tue,0
City Hotel,Check-Out,8/16/16,Tue,0
Resort Hotel,Check-Out,3/24/16,Thu,1
City Hotel,Canceled,10/2/16,Sun,1
City Hotel,Check-Out,9/12/15,Sat,1
Resort Hotel,Check-Out,4/22/17,Sat,1
City Hotel,Check-Out,6/4/17,Sun,1
City Hotel,No-Show,6/2/17,Fri,1
Resort Hotel,Check-Out,7/31/16,Sun,1
City Hotel,Check-Out,9/5/15,Sat,0
City Hotel,Canceled,7/20/16,Wed,1
Resort Hotel,Check-Out,10/9/15,Fri,0
City Hotel,Canceled,10/9/15,Fri,1
City Hotel,Check-Out,4/3/17,Mon,2
City Hotel,Check-Out,8/29/16,Mon,0
Resort Hotel,Check-Out,7/23/15,Thu,0
City Hotel,Check-Out,4/6/17,Thu,1
City Hotel,Canceled,10/1/16,Sat,0
City Hotel,Check-Out,9/15/15,Tue,1
City Hotel,Canceled,4/29/17,Sat,0
City Hotel,Check-Out,11/9/15,Mon,0
City Hotel,Check-Out,7/18/17,Tue,0
City Hotel,Check-Out,12/4/16,Sun,1
City Hotel,Check-Out,4/5/16,Tue,0
City Hotel,Check-Out,10/11/16,Tue,3
City Hotel,Check-Out,6/8/17,Thu,1
City Hotel,Check-Out,8/20/16,Sat,1
Resort Hotel,Check-Out,11/14/16,Mon,0
City Hotel,Canceled,4/6/16,Wed,0
Resort Hotel,Check-Out,10/13/15,Tue,0
Resort Hotel,Canceled,5/4/17,Thu,4
City Hotel,Canceled,7/27/17,Thu,1
Resort Hotel,Canceled,6/8/17,Thu,0
Resort Hotel,Check-Out,11/14/16,Mon,0
Resort Hotel,Check-Out,5/26/16,Thu,0
City Hotel,Check-Out,8/19/17,Sat,1
Resort Hotel,Canceled,4/2/17,Sun,0
City Hotel,Check-Out,2/11/17,Sat,1
City Hotel,Check-Out,2/13/16,Sat,0
City Hotel,Canceled,10/6/15,Tue,1
City Hotel,Check-Out,5/20/16,Fri,0
RESORT HOTEL,Check-Out,10/9/16,Sun,1
City Hotel,Canceled,9/30/15,Wed,2
City Hotel,Check-Out,8/1/16,Mon,0
Resort Hotel,Canceled,2/23/17,Thu,0
City Hotel,Check-Out,7/4/16,Mon,0
City Hotel,Check-Out,1/5/17,Thu,0
Resort Hotel,Check-Out,4/16/16,Sat,0
City Hotel,Check-Out,1/13/16,Wed,2
Resort Hotel,Check-Out,12/23/16,Fri,0
City Hotel,Canceled,5/25/17,Thu,1
City Hotel,Check-Out,11/18/16,Fri,1
City Hotel,Canceled,9/18/15,Fri,1
City Hotel,Canceled,5/24/17,Wed,1
City Hotel,Check-Out,5/29/17,Mon,1
City Hotel,Check-Out,1/30/17,Mon,3
City Hotel,Check-Out,8/11/15,Tue,0
City Hotel,Canceled,5/11/16,Wed,0
City Hotel,Canceled,10/5/15,Mon,1
Resort Hotel,Canceled,3/22/16,Tue,1
City Hotel,Check-Out,1/28/17,Sat,0
City Hotel,Check-Out,5/23/17,Tue,0
Resort Hotel,Canceled,12/17/15,Thu,0
City Hotel,Canceled,4/25/17,Tue,0
Resort Hotel,Check-Out,2/29/16,Mon,0
City Hotel,Check-Out,12/6/16,Tue,0
City Hotel,Check-Out,10/31/16,Mon,0
City Hotel,Check-Out,5/17/16,Tue,1
City Hotel,Canceled,7/30/16,Sat,1
City Hotel,Check-Out,8/19/15,Wed,0
City Hotel,Canceled,2/23/17,Thu,0
City Hotel,Check-Out,10/7/15,Wed,0
City Hotel,Canceled,7/10/16,Sun,0
City Hotel,Canceled,9/26/15,Sat,0
Resort Hotel,Check-Out,9/27/15,Sun,0
City Hotel,Check-Out,4/11/16,Mon,0
City Hotel,,9/5/16,Mon,2
City Hotel,Check-Out,7/26/16,Tue,2
City Hotel,Canceled,7/6/17,Thu,1
Resort Hotel,Check-Out,4/22/16,Fri,0
City Hotel,Canceled,4/19/16,Tue,0
City Hotel,Check-Out,3/3/17,Fri,0
City Hotel,Check-Out,4/2/17,Sun,0
