,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
82528,313 - CHEST PAIN,50763,SILVER LAKE MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,CA - Los Angeles,13,23308.23,5824.53,4871.61
82529,313 - CHEST PAIN,50764,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,CA - Redding,19,30198.68,4240.0,3349.68
82530,313 - CHEST PAIN,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,CA,92555,CA - San Bernardino,28,12699.67,3465.0,2552.1
82531,313 - CHEST PAIN,50770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,MURRIETA,CA,92563,CA - San Diego,50,19109.94,3465.0,2536.76
82532,313 - CHEST PAIN,60001,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,CO,80631,CO - Greeley,113,14352.99,3721.12,2616.76
82533,313 - CHEST PAIN,60003,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,CO,80501,CO - Boulder,50,15920.8,3272.48,2452.84
82534,313 - CHEST PAIN,60004,PLATTE VALLEY MEDICAL CENTER,1600 PRAIRIE CENTER PARKWAY,BRIGHTON,CO,80601,CO - Denver,11,19860.81,4215.54,2546.72
82535,313 - CHEST PAIN,60006,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,MONTROSE,CO,81401,CO - Grand Junction,15,7877.4,3441.0,2546.06
82536,313 - CHEST PAIN,60009,EXEMPLA LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,CO - Denver,29,22388.03,3336.0,2484.96
82537,313 - CHEST PAIN,60010,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,CO,80524,CO - Fort Collins,51,14140.8,3285.35,2477.17
82538,313 - CHEST PAIN,60011,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,DENVER,CO,80204,CO - Denver,46,12920.39,5569.65,4725.86
82539,313 - CHEST PAIN,60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,PUEBLO,CO,81004,CO - Pueblo,63,14859.84,3440.42,2494.71
82540,313 - CHEST PAIN,60013,MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,DURANGO,CO,81301,NM - Albuquerque,13,13448.23,4292.92,3004.15
82541,313 - CHEST PAIN,60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,11600 WEST 2ND PLACE,LAKEWOOD,CO,80228,CO - Denver,17,26984.29,3691.47,2465.29
82542,313 - CHEST PAIN,60016,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,CO,81212,CO - Colorado Springs,16,12236.93,3830.0,2776.75
82543,313 - CHEST PAIN,60020,PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,CO,81003,CO - Pueblo,32,19305.21,3361.31,2349.03
82544,313 - CHEST PAIN,60022,MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRING,CO,80909,CO - Colorado Springs,54,18480.51,3536.77,2419.53
82545,313 - CHEST PAIN,60023,ST MARYS HOSPITAL AND MEDICAL CENTER,2635 N 7TH STREET,GRAND JUNCTION,CO,81502,CO - Grand Junction,51,12033.37,3903.47,2689.54
82546,313 - CHEST PAIN,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,12605 EAST 16TH AVENUE,AURORA,CO,80045,CO - Denver,53,20689.45,5446.15,4566.35
82547,313 - CHEST PAIN,60027,BOULDER COMMUNITY HOSPITAL,1100 BALSAM AVENUE,BOULDER,CO,80304,CO - Boulder,23,23253.78,3171.91,2257.08
82548,313 - CHEST PAIN,60028,EXEMPLA SAINT JOSEPH HOSPITAL,1835 FRANKLIN ST,DENVER,CO,80218,CO - Denver,11,29906.9,5473.27,1965.72
82549,313 - CHEST PAIN,60030,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,CO - Greeley,19,12588.63,3180.31,2175.89
82550,313 - CHEST PAIN,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 N NEVADA AVE,COLORADO SPRING,CO,80907,CO - Colorado Springs,117,17324.61,3268.05,2171.75
82551,313 - CHEST PAIN,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 S DOWNING ST,DENVER,CO,80210,CO - Denver,25,28012.96,3626.12,2905.48
82552,313 - CHEST PAIN,60071,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD STREET,DELTA,CO,81416,CO - Grand Junction,44,5345.43,3353.43,2051.22
82553,313 - CHEST PAIN,60100,"MEDICAL CENTER OF AURORA, THE",1501 S POTOMAC ST,AURORA,CO,80012,CO - Denver,50,28087.64,3431.64,2543.68
82554,313 - CHEST PAIN,60104,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL,2551 W 84TH AVENUE,WESTMINSTER,CO,80031,CO - Denver,40,21176.65,3659.2,2876.4
82555,313 - CHEST PAIN,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,CO - Denver,23,31454.86,3684.52,2133.86
82556,313 - CHEST PAIN,60114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,CO - Denver,17,28877.05,3191.0,2331.0
82557,313 - CHEST PAIN,60119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,CO - Greeley,36,15704.72,3407.05,1935.27
82558,313 - CHEST PAIN,70001,HOSPITAL OF ST RAPHAEL,1450 CHAPEL ST,NEW HAVEN,CT,6511,CT - New Haven,107,14831.21,4491.14,3764.98
82559,313 - CHEST PAIN,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,HARTFORD,CT,6105,CT - Hartford,70,19386.1,4958.98,3732.55
82560,313 - CHEST PAIN,70003,DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,CT,6260,CT - Hartford,88,7577.47,3664.68,2676.27
82561,313 - CHEST PAIN,70005,WATERBURY HOSPITAL,64 ROBBINS ST,WATERBURY,CT,6721,CT - New Haven,77,19267.12,4343.92,3473.42
82562,313 - CHEST PAIN,70006,STAMFORD HOSPITAL,30 SHELBURNE ROAD,STAMFORD,CT,6904,CT - Bridgeport,36,25059.58,4963.25,3251.11
82563,313 - CHEST PAIN,70007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,CT,6320,CT - New Haven,95,11255.46,3862.37,2837.55
82564,313 - CHEST PAIN,70010,BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,CT,6610,CT - Bridgeport,42,19539.35,5360.47,4206.88
82565,313 - CHEST PAIN,70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,6790,CT - Hartford,13,6952.61,3713.46,2847.61
82566,313 - CHEST PAIN,70016,SAINT MARYS HOSPITAL,56 FRANKLIN ST,WATERBURY,CT,6706,CT - New Haven,36,10035.19,4471.58,3536.27
82567,313 - CHEST PAIN,70017,MIDSTATE MEDICAL CENTER,435 LEWIS AVE,MERIDEN,CT,6450,CT - New Haven,34,14410.76,3781.88,2753.52
82568,313 - CHEST PAIN,70018,GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,GREENWICH,CT,6830,CT - Bridgeport,101,13617.17,3941.87,2953.87
82569,313 - CHEST PAIN,70019,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,MILFORD,CT,6460,CT - New Haven,12,15232.75,3607.58,2672.25
82570,313 - CHEST PAIN,70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,6457,CT - Hartford,65,17495.86,3887.86,3127.98
82571,313 - CHEST PAIN,70021,WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVE,WILLIMANTIC,CT,6226,CT - Hartford,21,12231.61,4904.85,3916.42
82572,313 - CHEST PAIN,70022,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,6504,CT - New Haven,208,16835.81,5680.9,4829.14
82573,313 - CHEST PAIN,70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,CT,6360,CT - Hartford,112,10910.02,3983.61,2656.2
82574,313 - CHEST PAIN,70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,6102,CT - Hartford,81,15250.75,4975.06,4126.51
82575,313 - CHEST PAIN,70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,6040,CT - Hartford,20,10918.65,3660.5,2357.85
82576,313 - CHEST PAIN,70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,6606,CT - Bridgeport,168,15104.5,4502.96,3419.09
82577,313 - CHEST PAIN,70029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,6010,CT - Hartford,23,14937.65,3605.0,3066.39
82578,313 - CHEST PAIN,70031,GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,CT,6418,CT - New Haven,51,10621.07,4271.07,3168.15
82579,313 - CHEST PAIN,70033,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,CT,6810,CT - New Haven,209,9513.92,4278.94,3325.56
82580,313 - CHEST PAIN,70034,NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NORWALK,CT,6856,CT - Bridgeport,123,15949.18,4406.99,3607.73
82581,313 - CHEST PAIN,70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,NEW BRITAIN,CT,6050,CT - Hartford,177,10128.94,4183.22,3197.98
82582,313 - CHEST PAIN,80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,DE - Wilmington,132,11014.43,4359.67,3316.03
82583,313 - CHEST PAIN,80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,DE - Wilmington,78,14817.87,3959.87,2906.1
82584,313 - CHEST PAIN,80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,DE,19901,DE - Wilmington,23,14639.82,3562.13,2720.0
82585,313 - CHEST PAIN,80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,19973,MD - Salisbury,13,9436.0,4372.92,3678.76
82586,313 - CHEST PAIN,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,28,14875.42,3946.14,2146.42
82587,313 - CHEST PAIN,90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DC,20037,DC - Washington,69,14692.37,4922.52,4048.56
82588,313 - CHEST PAIN,90003,HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,WASHINGTON,DC,20060,DC - Washington,96,16769.64,7021.29,6089.45
82589,313 - CHEST PAIN,90004,GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DC,20007,DC - Washington,16,15254.68,5135.31,4106.43
82590,313 - CHEST PAIN,90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,DC - Washington,11,15057.09,3247.18,2541.36
82591,313 - CHEST PAIN,90006,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DC,20017,DC - Washington,45,13842.91,4651.8,3828.06
82592,313 - CHEST PAIN,90008,UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,WASHINGTON,DC,20032,DC - Washington,18,19053.77,4353.0,3542.55
82593,313 - CHEST PAIN,90011,WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,DC - Washington,117,17549.78,4749.65,3893.74
82594,313 - CHEST PAIN,100001,SHANDS JACKSONVILLE MEDICAL CENTER,655 W 8TH ST,JACKSONVILLE,FL,32209,FL - Jacksonville,82,21229.04,5005.54,4243.47
82595,313 - CHEST PAIN,100002,BETHESDA MEMORIAL HOSPITAL,2815 S SEACREST BLVD,BOYNTON BEACH,FL,33435,FL - Fort Lauderdale,109,21285.14,3618.77,2680.08
82596,313 - CHEST PAIN,100006,ORLANDO HEALTH,1414 S KUHL AVE,ORLANDO,FL,32806,FL - Orlando,144,21566.2,4190.45,2299.27
82597,313 - CHEST PAIN,100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,32803,FL - Orlando,471,18974.33,3891.98,2455.66
82598,313 - CHEST PAIN,100008,BAPTIST HOSPITAL OF MIAMI INC,8900 N KENDALL DR,MIAMI,FL,33176,FL - Miami,27,35048.07,4852.44,3160.22
82599,313 - CHEST PAIN,100009,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,MIAMI,FL,33136,FL - Miami,73,34930.38,4483.13,3691.91
82600,313 - CHEST PAIN,100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,FL,33901,FL - Fort Myers,367,14247.61,3324.38,2283.95
82601,313 - CHEST PAIN,100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,FL - Ormond Beach,51,13825.31,3566.96,2590.47
82602,313 - CHEST PAIN,100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,FL,34102,FL - Fort Myers,193,15366.3,3372.79,2183.23
82603,313 - CHEST PAIN,100019,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,32901,FL - Orlando,113,21300.22,3023.75,2080.94
82604,313 - CHEST PAIN,100022,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,33136,FL - Miami,122,18703.39,6925.41,6145.12
82605,313 - CHEST PAIN,100023,CITRUS MEMORIAL HOSPITAL,502 HIGHLAND BLVD,INVERNESS,FL,34452,FL - Ocala,18,13456.5,3003.77,1736.61
82606,313 - CHEST PAIN,100025,SACRED HEART HOSPITAL,5151 N 9TH AVE,PENSACOLA,FL,32504,FL - Pensacola,51,12659.43,3843.0,2347.5
82607,313 - CHEST PAIN,100026,BAY MEDICAL CENTER,615 N BONITA AVE,PANAMA CITY,FL,32401,FL - Panama City,280,10526.93,3106.23,2167.5
82608,313 - CHEST PAIN,100029,NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,FL,33150,FL - Miami,117,27767.35,4144.49,3339.52
82609,313 - CHEST PAIN,100030,HEALTH CENTRAL,10000 W COLONIAL DR,OCOEE,FL,34761,FL - Orlando,33,21578.42,3410.42,2553.36
82610,313 - CHEST PAIN,100032,BAYFRONT MEDICAL CENTER INC,701 6TH ST S,SAINT PETERSBUR,FL,33701,FL - St. Petersburg,75,16838.36,3692.18,2850.86
82611,313 - CHEST PAIN,100034,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,MIAMI BEACH,FL,33140,FL - Miami,87,23630.09,4240.96,3262.43
82612,313 - CHEST PAIN,100035,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,BRADENTON,FL,34208,FL - Bradenton,51,15488.0,3423.21,2321.54
82613,313 - CHEST PAIN,100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,33021,FL - Miami,121,19761.35,3887.56,3168.34
82614,313 - CHEST PAIN,100039,BROWARD HEALTH BROWARD GENERAL MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,FL,33316,FL - Fort Lauderdale,24,17476.0,4591.04,3790.16
82615,313 - CHEST PAIN,100040,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,FL - Jacksonville,137,14636.87,3213.02,2288.04
82616,313 - CHEST PAIN,100044,MARTIN MEMORIAL MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,34995,FL - Fort Lauderdale,60,20124.55,3278.88,2253.91
82617,313 - CHEST PAIN,100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,DELAND,FL,32720,FL - Orlando,76,16140.23,3237.0,2350.47
82618,313 - CHEST PAIN,100046,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,ZEPHYRHILLS,FL,33541,FL - Tampa,112,21177.44,3151.18,2189.42
82619,313 - CHEST PAIN,100047,CHARLOTTE REGIONAL MEDICAL CENTER,809 E MARION AVE,PUNTA GORDA,FL,33950,FL - Fort Myers,97,12975.01,2927.0,2060.97
82620,313 - CHEST PAIN,100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,SEBRING,FL,33870,FL - Orlando,11,14314.27,3036.18,2424.54
82621,313 - CHEST PAIN,100050,PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,HIALEAH,FL,33012,FL - Miami,23,15329.47,4258.0,3290.34
82622,313 - CHEST PAIN,100052,WINTER HAVEN HOSPITAL,200 AVE F NE,WINTER HAVEN,FL,33881,FL - Orlando,21,18383.71,3138.0,2706.76
82623,313 - CHEST PAIN,100053,HIALEAH HOSPITAL,651 E 25TH ST,HIALEAH,FL,33013,FL - Miami,76,30137.53,4856.68,3963.48
82624,313 - CHEST PAIN,100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,FL - Pensacola,47,39775.57,2990.93,1906.59
82625,313 - CHEST PAIN,100055,HELEN ELLIS MEMORIAL HOSPITAL,1395 S PINELLAS AVE,TARPON SPRINGS,FL,34689,FL - Clearwater,12,18456.75,2915.33,2071.66
82626,313 - CHEST PAIN,100057,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,FL - Orlando,171,15380.52,3111.02,2061.04
82627,313 - CHEST PAIN,100061,MERCY HOSPITAL INC,3663 S MIAMI AVE,MIAMI,FL,33133,FL - Miami,41,15407.9,3972.39,3018.53
82628,313 - CHEST PAIN,100062,MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,FL,34474,FL - Ocala,39,16450.76,2937.56,2103.2
82629,313 - CHEST PAIN,100063,MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NEW PORT RICHEY,FL,34652,FL - Hudson,24,17545.7,2897.0,2147.66
82630,313 - CHEST PAIN,100067,ST ANTHONY'S HOSPITAL,1200 7TH AVENUE NORTH,SAINT PETERSBUR,FL,33705,FL - St. Petersburg,31,13479.12,3308.9,2063.38
82631,313 - CHEST PAIN,100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,32117,FL - Ormond Beach,46,10106.08,3021.32,2145.15
82632,313 - CHEST PAIN,100069,FLORIDA HOSPITAL CARROLLWOOD,7171 NORTH DALE MABRY,TAMPA,FL,33614,FL - Tampa,21,28366.9,3896.09,2104.19
82633,313 - CHEST PAIN,100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota,76,15279.42,2926.0,2144.57
82634,313 - CHEST PAIN,100071,BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,FL - Hudson,55,33218.52,3398.2,2221.1
82635,313 - CHEST PAIN,100072,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,FL - Orlando,111,14704.66,3404.7,2134.32
82636,313 - CHEST PAIN,100073,HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,FL - Fort Lauderdale,39,25549.12,3146.0,2295.07
82637,313 - CHEST PAIN,100075,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,FL - Tampa,100,16749.67,3612.55,2668.91
82638,313 - CHEST PAIN,100076,METROPOLITAN HOSPITAL OF MIAMI,5959 NW 7TH ST,MIAMI,FL,33126,FL - Miami,19,17785.78,4555.89,3844.31
82639,313 - CHEST PAIN,100077,PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,PORT CHARLOTTE,FL,33952,FL - Fort Myers,12,17318.16,3336.16,2045.83
82640,313 - CHEST PAIN,100080,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,33462,FL - Fort Lauderdale,59,24178.22,3736.44,2403.64
82641,313 - CHEST PAIN,100081,HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,DEFUNIAK SPRING,FL,32435,FL - Pensacola,21,7780.71,3081.09,2278.61
82642,313 - CHEST PAIN,100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,FL,34748,FL - Orlando,37,18735.51,3047.75,2075.64
82643,313 - CHEST PAIN,100086,BROWARD HEALTH NORTH BROWARD MEDICAL CENTER,201 E SAMPLE RD,POMPANO BEACH,FL,33064,FL - Fort Lauderdale,25,12172.84,3364.4,2432.52
82644,313 - CHEST PAIN,100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,FL - Sarasota,59,13520.72,3066.01,2103.57
82645,313 - CHEST PAIN,100088,BAPTIST MEDICAL CENTER,800 PRUDENTIAL DR,JACKSONVILLE,FL,32207,FL - Jacksonville,59,23038.16,3540.81,2369.1
82646,313 - CHEST PAIN,100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,FL - Jacksonville,44,20775.52,3516.0,2598.18
82647,313 - CHEST PAIN,100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,32955,FL - Orlando,72,14993.48,3208.08,1964.59
82648,313 - CHEST PAIN,100093,BAPTIST HOSPITAL,1000 W MORENO ST,PENSACOLA,FL,32501,FL - Pensacola,56,16457.25,3342.07,2254.53
82649,313 - CHEST PAIN,100099,LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,33853,FL - Orlando,50,21330.14,3453.98,1980.62
82650,313 - CHEST PAIN,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,FL - Gainesville,75,13281.78,3076.0,2136.64
82651,313 - CHEST PAIN,100105,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,VERO BEACH,FL,32960,FL - Orlando,59,7341.62,3285.62,2299.86
82652,313 - CHEST PAIN,100107,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,33936,FL - Fort Myers,53,20330.79,3215.0,2004.6
82653,313 - CHEST PAIN,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,4200 SUN N' LAKE BLVD,SEBRING,FL,33871,FL - Orlando,81,12181.77,3153.87,2237.98
82654,313 - CHEST PAIN,100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,KISSIMMEE,FL,34741,FL - Orlando,85,33164.92,3520.3,2652.34
82655,313 - CHEST PAIN,100113,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,1600 SW ARCHER RD,GAINESVILLE,FL,32610,FL - Gainesville,152,13024.59,5268.04,4509.13
82656,313 - CHEST PAIN,100117,BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE S,JACKSONVILLE BE,FL,32250,FL - Jacksonville,22,21803.9,3064.45,1836.9
82657,313 - CHEST PAIN,100118,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,FL - Ormond Beach,54,10975.85,3728.31,2604.01
82658,313 - CHEST PAIN,100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,BARTOW,FL,33831,FL - Lakeland,46,20316.02,3383.45,2048.63
82659,313 - CHEST PAIN,100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,FL - Pensacola,72,35976.54,4669.2,2161.93
82660,313 - CHEST PAIN,100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,MILTON,FL,32570,FL - Pensacola,37,21115.86,3221.0,2168.21
82661,313 - CHEST PAIN,100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,33033,FL - Miami,25,33228.6,4345.88,3583.8
82662,313 - CHEST PAIN,100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE SOUTH,SAINT PETERSBUR,FL,33707,FL - St. Petersburg,14,16189.85,2894.78,2178.5
82663,313 - CHEST PAIN,100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,CLEARWATER,FL,33756,FL - Clearwater,37,13834.48,3319.54,2049.94
82664,313 - CHEST PAIN,100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,TAMPA,FL,33606,FL - Tampa,78,40935.17,5458.33,4749.8
82665,313 - CHEST PAIN,100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,FL - Fort Lauderdale,23,16744.21,4238.82,3500.13
82666,313 - CHEST PAIN,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,AVENTURA,FL,33180,FL - Miami,146,23572.05,3474.82,2645.7
82667,313 - CHEST PAIN,100132,SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,PLANT CITY,FL,33563,FL - Lakeland,16,19798.0,3224.18,2241.68
82668,313 - CHEST PAIN,100135,TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,FL - Tallahassee,43,15678.41,3481.32,2485.06
82669,313 - CHEST PAIN,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,FL - Orlando,56,33923.48,3462.82,2371.16
82670,313 - CHEST PAIN,100139,TRI COUNTY HOSPITAL - WILLISTON,125 SW 7TH ST,WILLISTON,FL,32696,FL - Gainesville,13,5338.15,3218.0,2444.15
82671,313 - CHEST PAIN,100142,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,AL - Dothan,15,9210.33,4517.46,2010.4
82672,313 - CHEST PAIN,100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,KEY WEST,FL,33040,FL - Miami,29,21233.34,4447.0,3534.1
82673,313 - CHEST PAIN,100151,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,FL - Jacksonville,15,11541.26,4301.33,3511.06
82674,313 - CHEST PAIN,100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,LAKE CITY,FL,32055,FL - Gainesville,71,22716.53,4039.42,2770.64
82675,313 - CHEST PAIN,100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,FL - Lakeland,55,17494.52,3185.89,2324.6
82676,313 - CHEST PAIN,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,FL - Orlando,59,20060.52,3184.05,2140.91
82677,313 - CHEST PAIN,100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE RD,SARASOTA,FL,34233,FL - Sarasota,26,27684.96,2968.57,2030.73
82678,313 - CHEST PAIN,100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,33317,FL - Fort Lauderdale,29,26004.62,4299.17,3586.79
